Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
USDT,AAVEUSDT,TRADE,SELL,0.68000000000000000000,0.00000000000000000000,258.45000000000000000000,0.00000000000000000000,-0.09666030000000000000,-1.70000000000000000000,-1.79666030000000000000,517.68970842000000000000,CLOSE,2025-07-01 08:18:29
USDT,BTCUSDT,TRADE,BUY,0.00100000000000000000,0.00000000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.05771337000000000000,-0.13340000000000000000,-0.19111337000000000000,519.48636872000000000000,CLOSE,2025-07-01 08:18:28
USDT,BTCUSDT,TRADE,BUY,0.00100000000000000000,-0.00100000000000000000,104923.40000000000000000000,0.00000000000000000000,-0.05770787000000000000,-0.12340000000000000000,-0.18110787000000000000,519.67748209000000000000,CLOSE,2025-07-01 08:18:28
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2750.00000000000000000000,0.00000000000000000000,-0.09075000000000000000,-0.34980000000000000000,-0.44055000000000000000,519.85858996000000000000,CLOSE,2025-07-01 08:18:27
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,520.29913996000000000000,OPEN,2025-07-01 08:18:21
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2744.17000000000000000000,0.00000000000000000000,-0.09055761000000000000,0.00000000000000000000,-0.09055761000000000000,520.41441996000000000000,OPEN,2025-07-01 08:18:19
USDT,BTCUSDT,TRADE,BUY,0.00200000000000000000,0.00000000000000000000,104933.40000000000000000000,0.00000000000000000000,-0.11542674000000000000,-0.26680000000000000000,-0.38222674000000000000,520.50497757000000000000,CLOSE,2025-07-01 08:18:14
USDT,BTCUSDT,TRADE,SELL,0.00200000000000000000,-0.00200000000000000000,104800.00000000000000000000,0.00000000000000000000,-0.11528000000000000000,0.00000000000000000000,-0.11528000000000000000,520.88720431000000000000,OPEN,2025-07-01 08:18:13
USDT,ETHUSDT,TRADE,BUY,0.06000000000000000000,0.00000000000000000000,2755.84000000000000000000,0.00000000000000000000,-0.09094272000000000000,-0.70020000000000000000,-0.79114272000000000000,521.00248431000000000000,CLOSE,2025-07-01 08:18:11
USDT,ETHUSDT,TRADE,SELL,0.06000000000000000000,-0.06000000000000000000,2744.17000000000000000000,0.00000000000000000000,-0.09055761000000000000,0.00000000000000000000,-0.09055761000000000000,521.79362703000000000000,OPEN,2025-07-01 08:18:10
